"","(Intercept)","pretermBirthYes","gestationalAge","babyGender male","birthweightSdscore","parity primipara","delivery Vaginal","maternalAge","maternalBmi","maternalSmokingBeforePregnancy Yes","paternalAge","paternalBmi","paternalSmokingBeforePregnancy Yes","gestationalDiabetesMellitus Yes","chorioamnionitis Yes","idiopathicPromWithoutInflammation Yes","preeclampsia Yes","placentaPrevia Yes","estimatedBcell","estimatedCd4t","estimatedCd8t","estimatedGran","estimatedMono","estimatedNk","estimatedNrbc"
"cg00010672",-0.0365102296943102,0.0443825986422836,0.154588466591558,0.00300936978636753,0.0103550237176559,0.0159024721323814,-0.0293793851546703,-0.0146884156782667,0.0399202841432318,0.0036890967023213,-0.0482111156138759,-0.00387806719588814,3.35644471039449e-05,NA,-0.0073170130809808,-0.0239203261411784,0.0135082619517903,-0.0153637685456169,0.193908789990065,0.0508418265659896,-0.0213864456629768,0.133287476217016,0.147306027668043,0.0276721283663534,0.149719900401452
"cg00017826",-0.205482038951771,-0.0260267300152127,-0.00679979415938549,-0.0114907004565032,0.00577808489597748,0.000168521031250033,-0.00275857987689961,-0.0141587555949303,0.0497455652297577,-0.0048266974159147,0.02337824285599,-0.0351879490165518,0.0140247580709361,NA,0.0118586531279773,0.0250435044922205,0.0174318502173359,0.0358956249893427,0.245608747198478,0.220373213238329,0.163131668927731,0.185068669251822,0.151940823580843,0.0445841279551689,0.143411738973295
"cg00026346",1.47544482235425,0.00979528886494716,-0.00582993868274952,-0.00021158307940206,-0.00302272825203622,0.000727625317160538,-0.00152370997034096,-0.00174374090335586,0.00522834168384497,0.00591121787802767,-0.00394533664146459,0.0134770120416266,0.0101748938255014,NA,0.00860261664251445,0.0019280672600428,-0.0102273674232156,-0.0019616997347308,-0.116077098517024,-0.201898750107319,-0.116091972041248,-0.086682237770697,-0.0730949513016627,-0.0198481428442134,-0.0672401685415731
"cg00034336",0.166729148981391,8.83845819740728e-06,0.000810790489213962,0.00724265772792937,-0.00504823861343362,0.000366347502369327,-0.00678678203174328,0.00210903942962966,-0.00861637871856198,0.0140069302843464,-0.00780827101802212,-0.00234233004497593,0.000426534275420139,NA,-0.017745387017791,-0.00925926430845274,-0.0186259895542421,-0.00932766866971182,0.00114470159184049,0.147399673936254,0.0473939469714917,-0.0122312346597221,-0.00532427243161165,0.00183085189983636,-0.000489519861108072
"cg00092400",1.1819075350298,0.0080153121909121,-0.0865513193954067,-0.00331147425581424,-0.00524102833946278,-0.00371020028957735,0.00981469326891199,0.00426431170062959,-0.00672857246514812,0.0192319616609388,-0.0237017405091823,-0.0473555345466781,0.0132428177433592,NA,0.0109049750955755,-0.00138651185499477,-0.00873672679845381,-0.0208620239047928,-0.160223866217013,-0.379846753139358,-0.209601381329941,-0.157281191543712,-0.125667160348228,-0.0357108587726752,-0.0272280649398255
"cg00168694",0.211706505216776,-0.0103149081174796,-0.0797645758459324,-0.00603301215729385,-0.00339973248160654,0.00236475839141731,0.00870456398046396,-0.0112967032288065,-0.00150912190283022,-0.0218327578276833,-0.00691137577066792,-0.00429021790442787,-0.0192877715645614,NA,-0.00426177471212115,0.00463666644149597,-0.000202026038498105,0.00665868740358821,0.191301440335281,0.322606211858151,0.170698551216328,-0.00980873975480169,-0.0164133583505482,0.0284784396162403,0.0949691393476423
"cg00219921",0.154542318545279,-0.00817528972608528,0.0165418831100929,-0.00588682764429116,0.0100333191660932,-0.00149166467787549,-0.00740286420306831,0.0226743659928451,0.0117060081011003,0.0137555522610258,0.0135628227034013,0.00669521742596234,0.026178891113741,NA,-0.00722595271345593,0.00952733113972653,0.00638862862377325,0.00333698425024452,0.175474878661693,0.22007504903499,0.0910676010018344,0.120767738967778,0.0929523248948681,0.0393184629442693,0.0987389349260228
"cg00233633",0.881265158824998,0.00801137594335669,-0.0538008759390214,-0.0026109482541441,-0.000522545125595376,-1.38835247580092e-05,0.00258921382221659,-0.00232177416433775,0.0053269379009194,0.00666320712784874,-0.0135138471862795,-0.000581983089003929,-0.000640646262360942,NA,0.00329538062287617,-0.0056480546409634,-0.00335163870514781,0.00185418353248117,-0.14674718005807,-0.290255688725453,-0.132999745267868,-0.105811505292815,-0.0945089002796606,-0.025061373614721,-0.0597431150948285
"cg00293644",0.889050962040814,-0.00507391231524584,-0.0647142600878497,-0.0192950428360976,0.00178193247668776,-0.00413213604066016,0.00309281447022898,0.0466571417694204,0.054464403646146,0.00441134071713944,-0.00328840025452527,-0.0240883367775311,-0.000858634137391378,NA,-0.00245169582672391,-0.00318204552416953,-0.0216846166192395,0.02224048067655,-0.143817740806192,0.0280670571076048,0.0221492740051681,0.0254684135075065,-0.0773945952635189,0.00317472891642595,0.0236465155675189
"cg00294149",0.802992806392203,0.00271650815350628,-0.0112107441762607,-0.00254876842718605,-0.000200018758199396,-0.00151194353185475,0.000477313593037083,-0.00241411576026935,0.0068640661284658,-0.00124254171877997,-0.000193900545784502,-0.0180833087088754,0.00759529564213352,NA,0.000643109140801482,6.74914129276042e-05,-0.0012283144919834,-0.00211323313716175,0.0383767331031972,0.0718807058136519,0.0376124579654494,0.0305749803624995,0.0104885408323076,0.00868080566567896,0.0268913998646991
"cg00344445",-1.51526688650368,-0.0279581197740302,0.0330689025076409,0.00845437874015693,-0.00584368036961393,0.01052182673981,-0.000160866690646225,-0.00213835256302101,-0.0105252199279528,0.0250420052224857,0.0425158335530035,0.0416097850956493,-0.0251321039406858,NA,-0.0164361752559862,0.00756449918691689,-0.0107280486267073,0.0249975451635873,0.517485398795878,0.926730631264508,0.473274696702746,0.318300722390479,0.271080937966632,0.0852080225349589,0.12349662047403
"cg00359365",-0.530906294595462,-0.0381662689794621,-0.193297431966348,0.0156609239610429,-0.00116957720739654,-0.00864034042878617,0.0153341140876413,-0.0831679474145293,-0.0622725552696704,-0.00731564902220109,-0.0012581086797432,0.000704486964997487,0.0140272126665685,NA,0.0105289397877359,0.0171601247918884,0.024744855797034,-0.00215347471422716,0.398042201669732,0.659347218992396,0.270613057545797,0.14171888156337,0.0987113011156443,0.0296922166080514,0.0947312717314446
"cg00366435",0.758551553764962,-0.0112304090052733,0.00593640483915897,-0.00990179241985081,0.0100571744471228,0.00647896367731729,-0.00266369836538113,0.0141262977477924,0.00741730654541475,0.00382417116809222,0.00736954198980576,-0.00780321248357131,-0.00547879530058142,NA,0.00316616407547655,0.00202246344402001,0.0118975454211448,0.00665740769675359,0.0331141833512791,-0.246019292991015,-0.0509074504652204,0.0387044146905299,0.0465272830951963,0.0139324763474656,0.0368996401575359
"cg00376816",0.0828068594874298,-0.00680779485117676,0.0507483871361791,0.000807455629686152,0.00263594921619673,0.0123311114386386,0.00592499398017887,0.0413792188727173,0.0410061312741642,0.0251010035604181,-0.0125887919878494,-0.00932774832617794,0.00738199231215972,NA,-0.00188115817503663,-0.0169900184515588,-0.000227105060451937,0.0245622579343714,0.193360298527628,0.0563118585270511,0.0861384638645335,0.120190129626359,0.102610069816315,0.032236892684692,0.127431980289041
"cg00390484",-0.0170624426185939,-0.0174810105289142,-0.0878416135094694,-0.0112701328254858,-0.00377820114409133,0.00715800733515027,0.0034905795715635,0.025885810978646,-0.0251357515904877,0.000172129304122366,0.0234209101562993,-0.016031912161338,-0.00135326193706428,NA,-0.0088886698370241,0.00929915770992686,0.00221530044956014,0.000757528094760663,0.198272827894535,0.404380582749193,0.203943325671874,0.108883487201335,0.132245077211284,0.0310347613962475,0.0975808018478476
"cg00446123",0.487748907038198,-0.0080881888324937,-0.188598858144669,-0.00916445435819855,0.00729347916221111,-0.00144756792490242,0.00506542782867639,-0.0157379981390727,0.0391111710016853,0.00293579517613323,0.00518575322364598,-0.0227957446053568,0.000253006381005088,NA,0.0037031823976014,0.0174148916566488,0.00687510465814191,-0.0125352249234395,0.0426393260038621,-0.0622460650821449,-0.0512742387567012,0.110602870641911,0.109792756608005,-0.00794463758867768,0.00591650987412302
"cg00449482",0.0845332421231843,0.000881151656549981,0.013734927762457,0.000260068971711532,-0.00126452846405264,0.00233365857943668,-0.000239784710281456,-0.00734676976540253,0.00921606335436318,0.000319715027552449,0.00294690270096887,-0.0108600453644464,-0.00253524364586153,NA,0.000863532895624719,0.000759424545790322,0.00169528084672891,0.00888050127441178,0.20407880520257,0.340330285246804,0.187943517207893,0.143655800123235,0.109554625616237,0.0345161150131808,0.0264446756401301
"cg00517080",0.515400430643705,1.31213466659026e-05,0.0334397214865469,-0.0304299271719377,0.00314271019121411,0.000236220866255564,0.00636093650170502,-0.0214039362501995,0.0436788927532305,0.0049620865479704,-0.00269378256758372,0.002780003654222,-0.00667970248321454,NA,0.0110012923664586,-0.00171802047415987,-0.0124018252928574,0.0492143175288759,-0.113135258919957,0.00674994976440858,-0.0680144542926155,0.0646059798348585,0.0579361417169816,-0.0119568288291015,0.0524514248313627
"cg00529757",0.111236283187523,-0.00165967038654081,-0.0119951936794758,0.00277272443013033,0.00244094558756293,0.00197284136491093,0.000383010244289472,-0.00448348702116424,0.00288879035674307,0.00125129767199439,0.000957671007334462,-0.0139343315123715,0.000759270575866051,NA,-0.000933282170391449,0.00380134269008164,0.00962520439697524,0.00281655454985506,0.206883704775832,0.345175473409137,0.194788673875308,0.144840069495947,0.11451706542869,0.0348539392936062,0.00678725239037464
"cg00678668",0.74446062309625,-0.0124749715021922,0.0173094233499771,0.00483799297071042,0.00248466394845131,0.00808128493002881,0.00950163996207994,-0.0036060915024052,-0.0299760811096791,-0.0274164861703718,-0.0142726036625689,0.0214620375968047,-0.0132799085510559,NA,0.021415156488452,0.00432905030796952,0.0113229013762503,0.00162935750619167,0.0312468246237491,-0.0827535419994437,0.0043495238127206,0.0363467768366928,0.0273309427617727,-0.00445979051418013,0.00554466611383731
"cg00705661",0.669917708070126,0.0169105599826283,-0.0226320643411378,-0.00442769271792717,0.000781194418584029,-0.00460951861003488,-0.00103819391180785,-0.0401788148484004,0.017483570648968,-0.0162315253786845,0.00982080313898933,-0.0232701078310652,0.00514886747458674,NA,-0.00575639068814596,-0.00875926643046739,-0.000772886010538418,0.0154861655848141,0.0730182459388744,0.0749011139459302,0.0695865459729853,0.0568188175745432,0.0514973817899748,0.0136601443170914,0.0481285899515
"cg00706302",-0.392835677359101,-0.0205337210335124,-0.168531812096353,-0.0052426218535406,-0.0103229590317011,0.00584840006070736,0.00642847531974561,-0.0243898779721059,0.000409887069420262,-0.0321050544327027,0.0157817647735351,0.0234065197073048,0.0229985371131365,NA,0.0298901986976762,0.000952324048950305,0.0280722575587932,0.0132039938288677,0.259901998419089,0.344544683425264,0.138346540316032,0.180676447959151,0.140655537966713,0.0280549677476357,0.118776061438273
